joint,Kp,Kd,1,2,3,4,5,6,7,8
back_lbz,20,0.1,0,0,0,0,0,0,0,0
back_mby,4000,2,0,0,0,0,0.4,0.9,1.2,1.2
back_ubx,2000,1,0,0,0,0,0,0,0,0
neck_ay,20,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
l_leg_uhz,5,0.01,0,0.2,0,0,0,0,0,0
l_leg_mhx,100,1,0,0,0,0,0,0,0,0
l_leg_lhy,2000,10,-2,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5
l_leg_kny,1000,10,2,1.5,0.75,0.75,0.75,0.75,0.05,0.4
l_leg_uay,900,8,0,0,0,0,0,0,0,0
l_leg_lax,300,2,0,0,0,0,0,0,0,0
r_leg_uhz,5,0.01,0,-0.2,0,0,0,0,0,0
r_leg_mhx,100,1,0,0,0,0,0,0,0,0
r_leg_lhy,2000,10,-2,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5
r_leg_kny,1000,10,2,1.5,0.75,0.75,0.75,0.75,0.05,0.4
r_leg_uay,900,8,0,0,0,0,0,0,0,0
r_leg_lax,300,2,0,0,0,0,0,0,0,0
l_arm_usy,2000,3,1.1,1.4,1.4,1.55,0.87,-0.27,0.77,0.77
l_arm_shx,1000,10,-1.2,-0.8,-0.8,-0.2,-1.15,-1.15,-1,-1
l_arm_ely,200,3,2.5,2.5,2.5,2.5,2,1.4,2.5,2.5
l_arm_elx,200,3,0,0,0,1,1.82,1.82,0.52,0.52
l_arm_uwy,50,0.1,0,0,0,0,-0.18,-0.18,0,-0.18
l_arm_mwx,100,0.2,0,0,0,2,0.64,0.64,0,0.64
r_arm_usy,2000,3,1.1,1.4,1.4,1.55,0.87,-0.27,0.77,0.77
r_arm_shx,1000,10,1.2,0.8,0.8,0.2,1.15,1.15,1,1
r_arm_ely,200,3,2.5,2.5,2.5,2.5,2,1.4,2.5,2.5
r_arm_elx,200,3,0,0,0,-1,-1.82,-1.82,-0.52,-0.52
r_arm_uwy,50,0.1,0,0,0,0,0.18,0.18,0,0.18
r_arm_mwx,100,0.2,0,0,0,-2,-0.64,-0.64,0,-0.64
