put a sinlge comand here for expeirmentaiton,Kp,Kd,0.7,0.7,0.7,0.7,0.3,0.3,1,1,0.3
back_lbz,20,0.1,0,0,0,0,0,0,0,0,0
back_mby,4000,2,1,1,1,1,1,0,0,0,0
back_ubx,2000,1,0,0,0,0,0,0,0,0,0
neck_ay,20,1,1,1,1,1,1,1,1,1,1
l_leg_uhz,500,0.01,0,0,0,0,0,0,0,0,0
l_leg_mhx,600,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
l_leg_lhy,2000,10,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
l_leg_kny,1000,10,0,0,0,0,0,0,0,0,0
l_leg_uay,900,8,0,0,0,0,0,0,0,0,0
l_leg_lax,300,2,0,0,0,0,0,0,0,0,0
r_leg_uhz,500,0.01,0,0,0,0,0,0,0,0,0
r_leg_mhx,100,1,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
r_leg_lhy,2000,10,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
r_leg_kny,1000,10,0,0,0,0,0,0,0,0,0
r_leg_uay,900,8,0,0,0,0,0,0,0,0,0
r_leg_lax,300,2,0,0,0,0,0,0,0,0,0
l_arm_usy,2000,3,-1.6,-1.2,-0.3,0,0,0,0,-1.6,-1.6
l_arm_shx,1000,10,1,-0.7,-1.2,-1.5,-1.5,0,-0.2,-0.2,-0.2
l_arm_ely,200,3,1.8,2,2.7,3.1,3.1,3.1,3.1,3.1,1.8
l_arm_elx,200,3,2.2,1.8,1.8,1.8,0,0,0,0,2.2
l_arm_uwy,50,0.1,0,0,0,0,0,0,0,0,0
l_arm_mwx,100,0.2,0,0,0,0,0,0,0,0,0
r_arm_usy,2000,3,-1.6,-1.2,-0.3,0,0,0,0,-1.6,-1.6
r_arm_shx,1000,10,-1,0.7,1.2,1.5,1.5,0,0.2,0.2,0.2
r_arm_ely,200,3,1.8,2,2.7,3.1,3.1,3.1,3.1,3.1,1.8
r_arm_elx,200,3,-2.2,-1.8,-1.8,-1.8,0,0,0,0,-2.2
r_arm_uwy,50,0.1,0,0,0,0,0,0,0,0,0
r_arm_mwx,100,0.2,0,0,0,0,0,0,0,0,0
