0.0006333,0.0041165,0.0039992,0.0042997,-0.0044008,0.00021388,0.0048944,0.0078051,-0.16853,0.11033,-0.32118,-0.37482,0.064691,0.59344,0.068324
-0.82915,0.61324,0.61327,0.74588,0.74032,0.7511,0.71996,0.4952,0.26446,0.21465,-0.13973,0.69093,0.38849,-0.1352,0.70793
0.00099977,0.0012064,0.0011065,0.0016078,-0.0065249,-0.0023041,0.0022418,0.011147,-0.069236,-0.033332,-0.11012,-0.25854,-0.035731,-0.41751,0.054061
-1.9635,0.79054,0.79066,0.77123,0.78636,0.77328,0.77412,0.63227,1.3746,1.0977,1.5053,1.1014,1.3471,-1.7341,1.1492
1.4908,-1.0072,-1.0073,-1.0238,-1.0181,-1.0242,-1.0208,-1.09,-0.51264,-0.69403,-0.45652,-0.83007,-0.24433,0.81114,-0.91701
0,1.9797,1.9796,1.9787,1.9805,1.9755,1.9793,1.9758,2.1975,2.0569,1.9892,1.9959,2.03,0,2.0142
1.2552,0.56672,0.56675,0.60803,0.62006,0.60994,0.59934,0.67329,0.41399,0.36395,0,0.32601,0.23534,1.5255,0.35562
-0.73888,0.0118,0.012012,0.011514,0.0085426,0.0082961,0.010477,0.006596,-0.067328,-0.015197,-0.023653,0.051448,0.14888,-0.55983,-0.0053296
0.38151,0.26651,0.26541,-0.0038955,-0.0038955,-0.004314,0.0065964,0.27426,-0.27242,0.068615,-0.23024,-0.27482,-0.28922,0.1896,0.16769
-0.22636,-0.041619,-0.040529,0.495,0.495,0.49382,0.48568,0.15561,0.495,0.495,0.495,0.495,0.45899,0.495,0.44806
-1.75,-1.7048,-1.7064,-1.75,-1.75,-1.7461,-1.746,-1.75,-0.4249,-1.0247,-0.35609,-0.93718,-0.38735,-1.75,-1.4654
1.2977,1.4239,1.4271,2.1118,2.1118,2.1099,2.1091,1.7345,2.2384,2.3142,2.2196,2.3767,2.2707,2.1504,2.0051
0.65066,0.11114,0.10314,0.36606,0.36606,0.36679,0.35785,-0.16314,-0.58785,-0.42053,-0.75288,-0.47664,-0.6839,0.28836,0.39428
0.34135,0.19226,0.19138,-0.38566,-0.38566,-0.3841,-0.37322,0.019687,-0.35521,-0.28857,-0.436,-0.436,-0.436,-0.24264,-0.12441
0.74617,-0.436,-0.436,-0.436,-0.436,-0.436,-0.436,-0.436,-0.436,-0.436,-0.436,-0.436,-0.41462,0.65057,-0.436
-1.9635,0.7924,0.79239,0.77276,0.77946,0.77003,0.77685,0.6293,0.98036,1.0446,1.0823,1.0337,1.37,1.332,0.96723
-1.493,1.0109,1.0109,1.0276,1.0252,1.0291,1.024,1.0865,0.5325,0.81769,-0.11042,0.58037,0.3326,0.79625,0.82214
0,1.9812,1.9812,1.9799,1.9767,1.9771,1.9806,1.9749,1.887,2.3837,1.8468,1.9763,2.0946,2.0098,1.9685
-1.2588,-0.56608,-0.5662,-0.60743,-0.62169,-0.60952,-0.59938,-0.68144,-0.25229,-1.1449,-0.21501,-0.23829,-0.11181,0,-0.43118
-0.73992,0.011212,0.011298,0.012391,0.01393,0.011673,0.010463,0.014204,-0.040711,0.013825,-0.0022834,0.011896,0.054735,0.007219,0.02193
-0.13541,-0.011901,-0.012996,-0.0021446,0.059102,0.0057968,-0.0051715,-0.26443,0.18128,0.14449,0.25201,0.28753,0.32,2.6687e-05,-0.10599
0.081614,-0.07011,-0.069043,-0.072692,-0.12061,-0.495,-0.48683,-0.13681,-0.45506,-0.495,-0.49032,-0.495,-0.495,-0.34626,-0.26282
-1.745,-1.6822,-1.6803,-1.5657,-1.6478,-1.745,-1.745,-1.745,-0.3938,-0.99803,-0.35365,-0.84537,-0.44693,-1.737,-1.612
1.2725,1.4027,1.3991,1.3476,1.5653,2.1096,2.1089,1.7408,2.1736,2.2459,2.2162,2.3552,2.3598,2.102,2.2121
0.698,0.14913,0.15821,0.13752,-0.48413,0.36664,0.35772,-0.20082,-0.7061,-0.50298,-0.71679,-0.1413,-0.69924,0.1684,-0.63012
-0.31594,-0.16394,-0.16486,-0.16235,-0.1355,0.38585,0.37492,-0.019843,0.436,0.42836,0.436,0.40804,0.34224,0.26067,0.117
-0.74347,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.27363,-0.72633,0.22102,0.436,0.436,0.436,0.436
1.1345,0.55238,0.52852,0.58265,0.48214,0.47209,0.5521,0.64761,0.99034,0.87551,0.33523,0.8164,1.1246,0.74069,0.71515
